College,Courses
Deusto Business School - Unive ...,Degree in Business Management and Administration (Campus San Sebastián);;;Degree in Business Management and Administration + International Management Skills (Campus San Sebastián);;;Degree in Business Management and Administration + Management Development (Campus Bilbao);;;Double Degree in Business Management and Administration + Computer Engineering (Campus San Sebastián);;;Double Degree in Business Management and Administration + Industrial Technology Engineering (Campus Bilbao);;;Double Degree in Business Management and Administration + Law;;;Double Degree in Business Management and Administration + Law (Campus San Sebastián);;;Máster Universitario en Dirección de Empresas;;;Máster Universitario en Finanzas;;;Máster Universitario en Marketing Avanzado;;;Máster Universitario en Recursos Humanos;;;Master´s Degree in Competitiveness and Innovation;;;Master´s Degree in European and International Business Management;;;Master´s Degree in International Business
HEC Paris School of Management,"Master in Management - Grande Ecole Degree (MIM);;;Master in Management & Innovation - Double Degree with TUM;;;Master in Management & Public Affairs - Double Degree with Freie Universität Berlin;;;MS/MSc Médias, Art et Création;;;MSc Data Science for Business - Joint Degree with Ecole Polytechnique;;;MSc Marketing;;;MSc Strategic Management;;;MSc Sustainability and Social Innovation;;;MSc X-HEC Entrepreneurs;;;MSc Accounting & Financial Management;;;MSc International Finance;;;MSc Managerial & Financial Economics;;;Master in Management & Business Law (Double Degree HEC / Paris 1);;;MS/LLM Droit et Management International;;;PhD Program;;;Summer School programs"
Luiss University,Bachelor’s degree in Management and Computer Science;;;Bachelor Degrees in Business and Economics;;;Bachelor’s in Political Science;;;Master in Corporate Finance;;;Master in Global Management and Politics;;;Master in Management;;;Master in Marketing;;;Master in Economics;;;Master in Finance;;;RoME – Master in Economics;;;Master in International Relations;;;Master in Public Policy
Universidad Peruana Cayetano H ...,"Professional career of Biology;;;Professional career of Nutrition;;;Professional career of Stomatology;;;Career Education;;;Career of Bilingual Intercultural Education;;;Career of Intercultural Bilingual Elementary Education;;;Professional career of Primary Education;;;Career In Chemistry;;;Professional career of Biomedical Engineering;;;Professional career of Pharmacy and BiochemistryCarrera Profesional de Farmacia y Bioquimica;;;Professional Career of Medicine;;;Professional career of Medical Technology in the field of therapy of Hearing, Voice and Language;;;Professional career of medical technology in the specialty of Clinical Laboratory;;;Professional career of Medical Technology in the specialty of Physical Therapy and Rehabilitation;;;Professional career of Medical Technology in the specialty of radiology;;;Professional career of Occupational Therapy;;;Nursing Career;;;Professional career of Psychology;;;Career Management in Health;;;Professional career of Public Health and Global Health;;;Professional career of Veterinary and Animal Husbandry;;;Doctorate in Life Sciences;;;Doctorate in Sciences with a minor in Microbiology;;;Master's degree in Marine Science;;;Master's degree in Physiology;;;Master of Science in Molecular Genetics;;;Master's degree in Biochemistry and Molecular Biology;;;Master's Degree in Microbiology;;;Phd in Science in Biochemistry and Molecular Biology;;;Doctorate in Dentistry;;;Master's degree in Dentistry with Cosmetic and Restorative Dentistry;;;Master's degree in Dentistry with mention in Oral Implantology;;;Master's degree in Dentistry with mention in Orthodontics;;;Master of Science in Education with a minor in didactics of science education in primary education;;;Master's degree in Education with a major in teaching and research in higher education;;;Master's degree in Education with a minor in Natural Sciences Didactics for Primary Education.;;;Master's Degree in Education with an emphasis in the Teaching of Reading and Writing;;;Master's Degree in Chemistry;;;Master's Degree in Chemistry from biodiversity;;;Master's Degree in Environmental Science;;;Master's Degree in Intellectual Property with mention in Pharmaceutical Law;;;Master's degree in Pharmaceutical Technology;;;Doctorate in Medicine;;;Master's degree in Diabetes and Obesity with mention in nutritional management;;;Master's degree in Geriatrics and Gerontology;;;Master's degree in Human Genetics;;;Master's degree in Immunology;;;Master's Degree in Medicine;;;Master's degree in Medicine with mention;;;Master's degree in Neuroscience;;;Master's Degree in Occupational Medicine and the Environment;;;Master's Degree in Occupational Risk Prevention;;;Phd in Science in physiology;;;Programa de Certificación Progresiva: Maestría en Salud Mental de Niños y Adolescentes;;;Master's degree in Dentistry in Oral and Maxillofacial Radiology;;;Master's degree in Dentistry in Pathology and Oral Medicine and Maxolofacial;;;Master's degree in Oral and Maxillofacial Surgery;;;Master's degree in Nursing Care Management;;;Doctorate in Psychology;;;Master's degree in Clinical Psychology;;;Master's Degree in Educational Psychology;;;Master's degree in Organizational Behavior;;;Doctorate in Public Health;;;Doctorate in Strategic Management;;;Master of Science in epidemiological research;;;Master's Degree in Biomedical Informatics in Global Health with a minor in Computer Science with a minor in health or in Bioinformatics;;;Master's Degree in Health Management;;;Master's degree in Management of Social Programs and Projects;;;Master's degree in Public Health and Global Health;;;MBA en Gestión de Salud;;;Phd in Science in epidemiological research;;;Master's degree in Clinical Epidemiology;;;Master's Degree of Control of Infectious and Tropical Diseases;;;Master's degree in demography and population;;;MBA en Gestión Integral del Agua;;;Master's degree in Dentistry;;;Master's degree in Dentistry with mention in Endodontics;;;Master's degree in Dentistry with mention in Oral Rehabilitation;;;Master's degree in Dentistry with mention in Pediatric Dentistry;;;Master's degree in Dentistry with mention in Periodontics;;;Master's degree in Aquaculture Health;;;Master's Degree in Epidemiology and Public Health in Veterinary Medicine"
FGV EBAPE - Brazilian School o ...,Master in Management;;;MSc and PhD in Administration
Lund University,"Economy and Society - Bachelor's Programme;;;International Business - Bachelor's Programme;;;Development Studies - Bachelor's Programme;;;Swedish Language Programme - Freestanding Courses (non-degree);;;Mathematics - Bachelor's Programme;;;Physical Geography and Ecosystem Science - Bachelor's Programme;;;Physics - Bachelor's Programme;;;Biomedicine - Bachelor's Programme;;;Fine Arts - Bachelor's Programme;;;Music, Symphony Orchestra Instrument - Bachelor's Programme;;;Accounting and Finance - Master's Programme;;;Economic Development and Growth - Double Degree Programme;;;Economic Growth, Population and Development - Master's Programme;;;Economics - Master's Programme;;;Entrepreneurship and Innovation - Master's Programme;;;European and International Trade and Tax Law - Master's Programme;;;Finance - Master's Programme;;;Information Systems - Master's Programme;;;Innovation and Global Sustainable Development - Master's Programme;;;International Economics with a focus on China - Master's Programme;;;International Marketing & Brand Management - Master's Programme;;;International Strategic Management - Master's Programme;;;Management - Master's Programme;;;Managing People, Knowledge & Change - Master's Programme;;;European Business Law - Master's Programme;;;International Human Rights Law - Master's Programme;;;Architecture - Master's Programme;;;Biotechnology - Master's Programme;;;Disaster Risk Management and Climate Change Adaptation - Master's Programme;;;Embedded Electronics Engineering - Master's Programme;;;Energy-efficient and Environmental Building Design - Master's Programme;;;Fire Safety Engineering - European Joint Master's Degree;;;Food Innovation and Product Design - Erasmus Mundus Joint Master's Degree;;;Food Technology and Nutrition - Master's Programme;;;Industrial Design - Master's Programme;;;Logistics and Supply Chain Management - Master's Programme;;;Machine Learning, Systems and Control - Master's Programme;;;Nanoscience - Master's Programme;;;Pharmaceutical Technology: Discovery, Development and Production - Master's Programme;;;Photonics - Master's Programme;;;Production and Materials Engineering - Master's Programme;;;Sustainable Urban Design - Master's Programme;;;Water Resources Engineering - Master's Programme;;;Wireless Communications - Master's Programme;;;Asian Studies - Master's Programme;;;Cultural Criminology - Master's Programme;;;Development Studies - Master's Programme;;;European Affairs - Master's Programme;;;Global Studies - Master's Programme;;;Human Ecology - Culture, Power and Sustainability – Master's Programme;;;Human Geography - Social Science, Master's Programme;;;International Development and Management - Master's Programme;;;Media and Communication Studies - Master's Programme;;;Middle Eastern Studies - Master's Programme;;;Psychology - Master's Programme;;;Service Management, Culture and Creativity Management - Master's Programme;;;Service Management, Retail - Master's Programme;;;Service Management, Supply Chain Management - Master's Programme;;;Service Management, Sustainable Service Management - Master's Programme;;;Service Management, Tourism - Master's Programme;;;Social Anthropology - Master's Programme;;;Social Studies of Gender - Master's Programme;;;Sociology - Master's Porgramme;;;Sociology of Law - Master's Programme;;;Strategic Communication - Master's Programme;;;Tourism Development and Culture - Erasmus Mundus Joint Master's Degree;;;Welfare Policies and Management – Master's Programme;;;Applied Cultural Analysis - Master's Programme;;;Archaeology - theory and practice - Master's Programme;;;European Studies - Master's Programme;;;Film and Media History - Master's Programme;;;Human Rights Studies - Master's Programme;;;Language and Linguistics, Arabic/Semitic Languages - Master's Programme;;;Language and Linguistics, Chinese - Master's Programme;;;Language and Linguistics, Cognitive Semiotics - Master's Programme;;;Language and Linguistics, English - Master's Programme;;;Language and Linguistics, General Linguistics;;;Language and Linguistics, Greek - Master's Programme;;;Language and Linguistics, Italian - Master's Programme;;;Language and Linguistics, Japanese - Master's Programme;;;Language and Linguistics, Modern Greek - Master's Programme;;;Language and Linguistics, Phonetics - Master's Programme;;;Language and Linguistics, Swedish/Scandinavian Languages - Master's Programme;;;Literature - Culture - Media, English Literature - Master's Programme;;;Literature - Culture - Media, French Literature - Master's Programme;;;Literature - Culture - Media, General Literature - Master's Programme;;;Literature - Culture - Media, German Literature - Master's Programme;;;Literature - Culture - Media, Russian Literature - Master's Programme;;;Literature - Culture - Media, Scandinavian Studies - Master's Programme;;;Literature - Culture - Media, Spanish Literature - Master's Programme;;;Literature - Culture - Media, Yiddish Literature - Master's Programme;;;Religious Roots of Europe - Master's Programme;;;Visual Culture – Master's Programme;;;Astrophysics - Master's Programme;;;Atmospheric Sciences and Biogeochemical Cycles - Master's Programme;;;Bioinformatics - Master's Programme;;;Biology, Animal Ecology - Master's Programme;;;Biology, Aquatic Ecology - Master's Programme;;;Biology, Conservation Biology - Master's Programme;;;Biology, General - Master's Programme;;;Biology, Plant Science - Master's Programme;;;Chemistry, Biochemistry - Master's Programme;;;Chemistry, Physical Chemistry - Master's Programme;;;Chemistry, Synthetic and Analytical Chemistry - Master's Programme;;;Geographical Information Systems - Master's Programme;;;Geology, Bedrock Geology - Master's programme;;;Geology, Biogeology;;;Geology, Quaternary Geology - Master's programme;;;Geomatics - Master's Programme;;;Mathematical Statistics - Master's Programme;;;Mathematics - Master's Programme;;;Molecular Biology, General - Master's Programme;;;Molecular Biology, Medical Biology - Master's Programme;;;Molecular Biology, Microbiology - Master's Programme;;;Molecular Biology, Molecular Genetics and Biotechnology - Master's Programme;;;Physical Geography and Ecosystem Science - Master's Programme;;;Physics, Biological Physics and Computational Biology - Master's Programme;;;Physics, General - Master's Programme;;;Physics, Materials science - Master's Programme;;;Physics, Particle Physics - Master's Programme;;;Physics, Theoretical Physics - Master's Programme;;;Biomedicine - Master's Programme;;;Cancer biology - Freestanding Advanced Course (non-degree);;;Medical Science - Master's Programme;;;Neuroscience - Freestanding Advanced Course (non-degree);;;Public Health - Master's Programme;;;Church Music, Arrangement and Composition - Master's Programme;;;Church Music, Organ and Keyboard - Master's Programme;;;Church Music, Vocal Music and Choir - Master's Programme;;;Fine Arts - Master's Programme;;;Music, Composition - Master's Programme;;;Music, Composition Diploma - Master's Programme;;;Music, Guitar - Master's Programme;;;Music, Harpsichord - Master's Programme;;;Music, Interpretation Diploma - Master's Programme;;;Music, Jazz Improvisation - Master's Programme;;;Music, Piano - Master's Programme;;;Music, Recorder - Master's Programme;;;Music, Symphony Orchestra Instrument - Master's Programme;;;Music, Vocal Studies - Master's Programme;;;Environmental Management and Policy - Master's Programme;;;Environmental Sciences, Policy and Management - European Joint Master's Programme;;;Environmental Studies and Sustainability Science - Master's Programme"
National Research Nuclear Univ ...,"Bionanotechnologies;;;General medicine;;;Nuclear Technologies;;;Radiation Technologies in Life Sciences;;;Controlled fusion and plasma technologies;;;Mathematical Modeling and Software Engineering for Computers and Computer Networks – Information Technologies for Cybernetic Systems Development;;;Methods of Nonlinear Dynamics and Mathematical Modeling;;;Condensed matter physics;;;Nanoelectronics, spintronics and Photonics;;;Physics of kinetics phenomena;;;Condensed matter physics;;;Controlled fusion and plasma technologies;;;Laser Physics;;;Physics of Charge Particles & Accelerator Engineering;;;Plasma Physics;;;Theoretical physics;;;Advanced semiconductor lasers and technology;;;Biomedical nanotechnologies;;;Physics in nuclear medicine: Medical physics of radiation therapy and radiology; Nuclear medicine;;;High energy physics;;;Information-Measuring and Control Systems;;;Instrumentation and methods of experimental physics (Modern detectors for cosmic irradiation);;;Materials design and engineering;;;Nuclear and particle physics;;;Nuclear Engineering;;;Nuclear power installations, including design, operation and decommissioning;;;Nuclear Power Plants;;;Nuclear, Heat and Renewable Energy and Related Technologies;;;Physics of Extreme States of Matter (Condensed matter physics);;;Powder Metallurgy and Composite Materials;;;Thermophysics and theoretical heat engineering;;;Modern Problems of Software Engineering;;;Nanoelectronics, Spintronics and Photonics"
Universidad Militar Nueva Granada,Applied Biology;;;Technology in Horticultural Management and Production;;;Business Administration (Distance);;;Civil Engineering (Distance);;;Computer Engineering (Distance);;;Industrial Engineering (Distance);;;International Relations and Political Studies (Distance);;;Occupational Health and Safety Administration (Distance);;;Public Accounting (Distance);;;Business Administration;;;Economy;;;Public Accounting;;;Technology in Accounting and Tax;;;Biomedical Engineering;;;Civil Engineering;;;Engineering in Mechatronics;;;Environmental Engineering;;;Industrial Engineering;;;Multimedia Engineering;;;Technology in Electronics and Telecommunications;;;Telecommunications Engineering;;;International Relations and Political Studies;;;Occupational Health and Safety Administration;;;Bachelor of Law;;;Medicine;;;Technology in Prehospital Care;;;Doctorate in Applied Sciences;;;Master's Degree in Applied Biology;;;Master in Management Organizations;;;Doctorate in Bioethics;;;Master of Education;;;Master in Integral Logistics;;;Master's Degree in Civil Engineering;;;Master's Degree in International Relations and Business;;;Master's Degree in Mechatronics Engineering;;;Master's Degree in Project Management;;;Master of Administrative Law;;;Master of Criminal Procedural Law;;;Master's Degree in Legal Institutions of the Public Force
Vlerick Business School,Masters in Financial Management;;;Masters in General Management;;;Masters in Innovation & Entrepreneurship;;;Masters in International Management and Strategy;;;Masters in Marketing & Digital Transformation
Singapore Management University,Bachelor of Business Management;;;Bachelor of Accountancy;;;Bachelor of Science (Economics);;;Bachelor of Science (Information Systems);;;Bachelor of Laws;;;Bachelor of Social Science;;;Executive Master of Business Administration;;;Global Master of Finance Dual-Degree;;;IE-SMU Master of Business Administration;;;Master of Business Administration;;;Master of Human Capital Leadership;;;Master of Science in Applied Finance;;;Master of Science in Communication Management;;;Master of Science in Innovation;;;Master of Science in Management;;;Master of Science in Quantitative Finance;;;Master of Science in Wealth Management;;;Doctor in Business Administration;;;PhD in Business;;;PhD in Business (General Management);;;Master of Professional Accounting;;;Master of Science in Accounting;;;Master of Science in Economics;;;Master of Science in Financial Economics;;;PhD in Economics;;;Master of IT in Business;;;PhD in Information Systems;;;Dual LLM in Commercial Law (Singapore and London);;;Juris Doctor Programme;;;Master of Laws;;;Master of Tri-Sector Collaboration;;;PhD in Psychology
University of Navarra,"Management Assistant;;;International Foundation Program;;;International Foundation Semester Program;;;Design (Bilingual);;;Studies of Architecture;;;Audiovisual Communication;;;Audiovisual Communication (bilingual);;;Audiovisual Communication + Performing Arts;;;Double Degree in History + Journalism;;;Double Degree in Philosophy + Journalism;;;Double Degree in Spanish Philology + Journalism;;;Journalism;;;Journalism (bilingual);;;Journalism + International Program in Fashion Communication;;;Marketing (bilingual);;;Marketing (bilingual) + Corporate Communication Program;;;Marketing (bilingual) + Creative Communication Program;;;Marketing (bilingual) + International Program in Fashion Communication;;;Degree in Economics (bilingual);;;Double Degree in Economics (bilingual) + Law;;;Double Degree in Management + Law;;;Double Degree in Management (bilingual) + Law;;;Economics (bilingual) + Leadership and Governance Program;;;Management;;;Management (Bilingual);;;Double Degree in Education + Early Childhood Education;;;Double Degree in Education + Primary Teaching;;;Early Childhood Education;;;Education;;;Primary Teaching;;;Psychology;;;Biomedical Engineering;;;Electrical Engineering;;;Industrial Design Engineering and Product Development;;;Industrial Design Engineering and Product Development + Global Industrial Design Engineering Program;;;Industrial Electronic Engineering;;;Industrial Organization Engineering;;;Industrial Organization Engineering + International Industrial Management Program;;;Industrial Technologies Engineering;;;Mechanical Engineering;;;Telecommunication Systems Engineering;;;History;;;History + Diploma in Archaeology;;;Humanities (Bilingual);;;Literary Studies and Creative Writing (Bilingual);;;Philosophy;;;Philosophy, Politics and Economics - PPE (bilingual);;;Spanish Philology;;;Double degree in International Relations (bilingual) + History;;;Double degree in International Relations (bilingual) + Law;;;Double degree in Law, Philosophy & Public Administration;;;International Relations (bilingual);;;Law;;;Law + Anglo American Law Program;;;Law + Diploma in Financial Law;;;Law + Global Law Program;;;Law + International Business Law Program;;;Medicine;;;Medicine + International Program in Medicine;;;Nursing;;;Nursing+ International Nursing Program;;;Double Degree in Pharmacy + Human Nutrition and Dietetics;;;Human Nutrition and Dietetics;;;Human Nutrition and Dietetics + International Nutrition Certificate;;;Human Nutrition and Dietetics + Sports Nutrition;;;Pharmacy;;;Pharmacy + International Pharmaceutical Certificate;;;Biochemistry (biomedical focus);;;Biochemistry (biomedical focus) + International Science Program;;;Biochemistry (biomedical focus) + Science and Business Program;;;Biology;;;Biology + International Science Program;;;Biology + Science and Business Program;;;Chemistry;;;Double Degree in Biology + Environmental Sciences;;;Double degree in Chemistry + Biochemistry (biomedical focus);;;Environmental Sciences;;;Environmental Sciences + International Science Program"
Central Queensland University ...,"Bachelor of Accounting;;;Bachelor of Accounting/Bachelor of Business;;;Bachelor of Arts/Bachelor of Business;;;Bachelor of Business (Specialisation);;;Bachelor of Business (Specialisation)/Bachelor of Professional Communication;;;Bachelor of Hospitality Management;;;Bachelor of Professional Communication;;;Diploma of Business Studies;;;Bachelor of Creative Arts;;;Bachelor of Music (Specialisation);;;Bachelor of Theatre (Specialisation);;;Diploma of Music;;;Bachelor of Arts;;;Bachelor of Education (Early Childhood);;;Bachelor of Education (Primary);;;Bachelor of Education (Secondary);;;Diploma of Arts;;;Bachelor of Aviation (Commercial Pilot);;;Bachelor of Engineering (Honours);;;Bachelor of Engineering (Honours) and Diploma of Professional Practice (Co-op);;;Bachelor of Allied Health;;;Bachelor of Medical Laboratory Science (Honours);;;Bachelor of Medical Science;;;Bachelor of Nursing;;;Bachelor of Occupational Therapy (Honours);;;Bachelor of Oral Health;;;Bachelor of Physiotherapy (Honours);;;Bachelor of Podiatry Practice (Honours);;;Bachelor of Science (Chiropractic);;;Bachelor of Speech Pathology (Honours);;;Associate Degree of Digital Media;;;Associate Degree of Information Technology;;;Bachelor of Digital Media;;;Bachelor of Information Technology;;;Bachelor of Information Technology (Co-Op);;;Diploma of Digital Media;;;Bachelor of Psychological Science;;;Bachelor of Psychological Science (Honours);;;Bachelor of Science (Psychology);;;Bachelor of Social Work (Honours);;;Certificate III in Individual Support;;;Diploma of Information and Communications Technology;;;Bachelor of Agriculture;;;Bachelor of Environmental Science;;;Bachelor of Science;;;Bachelor of Science (Honours);;;Doctor of Philosophy - Business and Informatics;;;Graduate Certificate in Business Administration;;;Graduate Certificate in Financial Planning;;;Graduate Certificate in Management;;;Graduate Certificate in Project Management;;;Graduate Certificate in Sustainable Tourism Management;;;Graduate Certificate of Professional Accounting;;;Graduate Diploma of Business Administration;;;Graduate Diploma of Financial Planning;;;Graduate Diploma of Human Resource Management;;;Graduate Diploma of Professional Accounting;;;Graduate Diploma of Project Management;;;Master of Business;;;Master of Business Administration;;;Master of Business Management;;;Master of Financial Planning;;;Master of Human Resource Management;;;Master of Professional Accounting;;;Master of Project Management;;;Master of Sustainable Tourism Management;;;Doctor of Education;;;Doctor of Philosophy - Arts, Humanities and Education;;;Master of Arts (by Research);;;Master of Communication;;;Master of Education (by Research);;;Master of Letters;;;Doctor of Philosophy - Sciences, Engineering and Health;;;Graduate Certificate in Asset and Maintenance Management;;;Graduate Diploma of Asset and Maintenance Management;;;Master of Asset and Maintenance Management;;;Master of Engineering;;;Master of Management for Engineers;;;Doctor of Philosophy - Sciences, Engineering and Health;;;Graduate Certificate in Clinical Ultrasound (Specialisation);;;Graduate Certificate in Healthy Ageing;;;Graduate Certificate in Nursing (International Registered Nurse Entry);;;Graduate Certificate in Tactical Medicine;;;Graduate Diploma of Paramedic Science (Critical Care);;;Master of Human Movement Science;;;Master of Medical Ultrasound;;;Master of Mental Health Nursing;;;Master of Paramedic Science (Paramedic Practitioner);;;Master of Public Health;;;Graduate Certificate in Information Systems;;;Graduate Certificate in Information Technology;;;Graduate Diploma of Information Systems;;;Graduate Diploma of Information Technology;;;Master of Informatics;;;Master of Information Systems;;;Master of Information Technology;;;Graduate Certificate in Dementia Studies;;;Graduate Certificate in Emergency and Disaster Management;;;Graduate Certificate in Positive Psychology;;;Graduate Diploma of Dementia Studies;;;Graduate Diploma of Healthy Ageing;;;Graduate Diploma of Positive Psychology;;;Master of Applied Positive Psychology;;;Master of Applied Science"
Leonard de Vinci Group - Paris ...,Master’s programme in business and management;;;MBA Digital Marketing Strategy;;;MSc Digital Business Analytics;;;MSc in International Business;;;MSc Innovation Management and Strategy;;;Master’s programme in engineering
School of Hotel and Tourism Ma ...,Bachelor of Science (Hons) in Hotel Management;;;Bachelor of Science (Hons) in Tourism and Events Management;;;Doctor of Hotel and Tourism Management;;;Doctor of Philosophy in Hotel and Tourism Management;;;Master of Science in Global Hospitality Business;;;Master of Science in International Hospitality Management;;;Master of Science in International Tourism and Convention Management;;;Master of Science in International Wine Management
University of St.Gallen (HSG),"Law;;;Law and Economics;;;Economics;;;International Affairs;;;Business Administration;;;International Law (MIL);;;Law (MLaw);;;Law and Economics (MLE);;;Economics (MEcon);;;International Affairs and Governance (MIA);;;Quantitative Economics and Finance (MiQE/F);;;Banking and Finance (MBF);;;Management, Organization Studies and Cultural Theory (MOK);;;Accounting and Finance (MAccFin);;;Business Innovation (MBI);;;Business Management (MUG);;;Marketing Management (MiMM);;;Strategy and International Management (SIM)"
Zayed University,Master of Arts (M.A.) in Judicial Studies;;;Masters in Diplomacy and International Affairs;;;Executive Master of Business Administration (EMBA);;;Master of Science (M.S.) in Finance;;;Master of Arts (M.A.) in Communication Concentration in Strategic Public Relations;;;Master of Arts (M.A.) in Communication Concentration in Tourism and Cultural Communication;;;Master of Education in Educational Leadership and Administration;;;Master of Science in Teaching and Learning;;;Master of Science (M.S.) in Information Technology Concentration in Cyber Security
University of Naples - Federico II,"Food Science and Technology;;;Scienze Agrarie Forestali ed Ambientali;;;Scienze Forestali ed Ambientali;;;Tecnologie Alimentari;;;Viticoltura ed Enologia;;;Architettura Progettazione Architettonica;;;Scienze dell'architettura;;;Urbanistica,paesaggio, territorio e ambiente;;;Biologia Generale Applicata;;;Scienze Biologiche;;;Scienze e Tecnologie per la Natura e per l'Ambiente;;;Biotecnologie Biomolecolari e Industriali;;;Chimica;;;Chimica Industriale;;;Ingegneria Chimica;;;Scienza ed Ingegneria dei Materiali;;;Ingegneria Civile;;;Ingegneria Edile;;;Ingegneria Edile-Architettura;;;Ingegneria Gestionale dei Progetti e delle Infrastrutture;;;Ingegneria per l'Ambiente e per il Territorio;;;Dietistica;;;Scienze Geologiche;;;Economia della Imprese Fianaziarie;;;Economia e Commercio (CLEC);;;Scienze del Turismo ad indirizzo Manageriale;;;Economia Aziendale;;;Economia delle Imprese Finanziarie;;;Informatica;;;Ingegneria Biomedica;;;Ingegneria dell'Automazione;;;Ingegneria delle Telecomunicazioni;;;Ingegneria Elettrica;;;Ingegneria Elettronica;;;Ingegneria Informatica;;;Archeologia e Storia delle Arti;;;Archeologia Storia delle Arti e scienze del Patrimonio Culturale;;;Cultura e Amministrazione dei Beni Culturali;;;Filosofia;;;Lettere Classiche;;;Lettere Moderne;;;Lingue Culture e Letteratura Moderne Europee;;;Scienze e Tecniche Psicologiche;;;Storia;;;Giurisprudenza (*);;;Matematica;;;Biotecnologie per la Salute;;;Tecniche di laboratorio biomedico;;;Controllo di Qualità;;;Informazione Scientifica sul Farmaco;;;Scienze Erboristiche;;;Scienze Nutraceutiche;;;PhD Programs;;;Fisica;;;Ottica e Optometria;;;Scienze dell’Amministrazione e dell’Organizzazione;;;Scienze Politiche;;;Servizio Sociale;;;Fisioterapia;;;Tecniche della Prevenzione nell’Ambiente e nei Luoghi di Lavoro;;;Tecniche Ortopediche;;;Culture Digitali e della Comunicazione;;;Sociologia;;;Biotecnologie Agro-ambientali ed Alimentari;;;Food Science and Technology (*) - ENGLISH;;;Forestry and Enviromental Sciences (*);;;Sceinze e Tecnologie Agrarie;;;Architettura;;;Architettura e Progettazione Architettonica (*);;;Design for Built Enviroment (*) - ENGLISH;;;Pianificazione Territoriale Urbanistica e Ambientale;;;Biology and Ecology of The Marine Environment and sustainable sue of marine resources (*);;;Scienze Naturali;;;LM Biotecnologie Molecolari e Industriali;;;Scienze Chimiche;;;Scienze e Tecnologie della Chimica Industriale;;;Ingegneria dei Materiali;;;LM Ingegneria Chimica;;;Ingegneria dei Sistemi Idraulici e di Trasporto;;;Ingegneria Edile-Architettura;;;LM Ingegneria Edile;;;LM Ingegneria per l'Ambiente e per il Territorio;;;Medicine e Chirurgia (ENGLISH);;;Scienze della Nutrizione Umana;;;Geologia e Geologia Applicata (*);;;Economia e Commercio;;;Economics and Finance (*) - ENGLISH;;;Finanza;;;LM Economia Aziendale;;;Progettazione e Gestione dei Sistemi Turistici;;;LM Informatica;;;LM Ingegneria Biomedica;;;LM Ingegneria dell'Automazione;;;LM Ingegneria delle Telecomunicazioni;;;LM Ingegneria Elettrica;;;LM Ingegneria Elettronica;;;Archeologia e Storia dell’Arte;;;CdSM Discipline della Musica e dello Spettacolo. Storia e Teoria;;;Filologia Moderna;;;Lingue e Letterature Moderne Europee;;;LM Filosofia;;;Aerospace Engineering (*);;;Giurisprudenza (*);;;LM Matematica;;;Biotecnologie Mediche;;;Biotecnologie Mediche (*);;;Biotecnologie del Farmaco;;;Chimica e Tecnologie Farmaceutiche;;;Chimica e Tecnologie Farmaceutiche (*);;;Farmacia;;;PhD Programs;;;LM Fisica;;;Relazioni internazionali ed Analisi di Scenario;;;Scienze della Pubblica Amministrazione;;;Scienze Politiche dell’Europa e Strategie di Sviluppo;;;Scienze Statistiche per le Decisioni;;;Servizio sociale e politiche sociali;;;Scienze delle Professioni Sanitarie della Prevenzione;;;Comunicazione Pubblica Sociale e Politica;;;Politiche sociali e del Territorio;;;Structural and Geotechnical Engineering (*) - ENGLISH"
Geneva Business School,Bachelor of International Business Management with a specialization in Digital Marketing;;;Bachelor of International Business Management with a specialization in Entrepreneurship;;;Bachelor of International Business Management with a specialization in International Management;;;Bachelor of International Business Management with a specialization in International Relations;;;Bachelor of International Business Management with a specialization in Sports Management;;;Bachelor of International Business Management with a specialization in International Finance;;;Master of Business Administration in Digital Marketing;;;Master of Business Administration in International Management;;;Master of Business Administration in International Relations;;;Master of Business Administration in Oil & Gas Management;;;Master of Business Administration in Sport Management;;;Master of Science in International Finance
